Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/3/24,12/3/24,AUTOMATIC PAYMENT - THANK,,Payment,4713.99,
12/2/24,12/3/24,TROPICAL SMOOTHIE CAFE VA,Food & Drink,Sale,-12.53,
12/2/24,12/3/24,Amazon Music*ZL1BP0G30,Shopping,Sale,-5.99,
12/1/24,12/2/24,SP FUSELENSES,Health & Wellness,Sale,-47.18,
11/30/24,12/2/24,EZPASSVA AUTO REPLENISH,Travel,Sale,-70,
11/30/24,12/2/24,PUBLIX #1591,Groceries,Sale,-9.25,
11/29/24,12/1/24,SHEETZ 2565   00025650,Gas,Sale,-28.98,
12/1/24,12/1/24,IC* INSTACART*SUBSCRIP,Groceries,Sale,-9.99,
11/29/24,12/1/24,FOOD LION #1361,Groceries,Sale,-33.11,
11/27/24,11/28/24,SP TRAVELPRO LUGGAGE,Shopping,Sale,-171.71,
11/28/24,11/28/24,Wikimedia,Gifts & Donations,Sale,-15.6,
11/26/24,11/28/24,7-ELEVEN 10721,Gas,Sale,-13.38,
11/26/24,11/27/24,UBER   *TRIP,Travel,Sale,-24.82,
11/25/24,11/27/24,TST*SURREAL,Food & Drink,Sale,-19.7,
11/25/24,11/27/24,SMARTRIP WASHINGTON DC,Travel,Sale,-10,
11/25/24,11/26/24,UPWORK * -756425862,Professional Services,Sale,-168.35,
11/25/24,11/26/24,AMAZON MKTPLACE PMTS,Shopping,Return,19.03,
11/24/24,11/25/24,Blink,Shopping,Sale,-3,
11/23/24,11/25/24,713 BOWLERO TYSONS - ARCA,Entertainment,Sale,-12,
11/21/24,11/24/24,BALDUCCI'S #3602,Groceries,Sale,-17.98,
11/22/24,11/24/24,SKRABEK,Shopping,Sale,-62,
11/23/24,11/24/24,Tilicare LLC,Automotive,Sale,-225,
11/23/24,11/24/24,HARRIS TEETER #308,Groceries,Sale,-34.05,
11/23/24,11/24/24,EXXON SUN DUNN LORING,Gas,Sale,-38.12,
11/23/24,11/24/24,PAN AM RESTAURANT,Food & Drink,Sale,-114.83,
11/22/24,11/24/24,SAFEWAY 2616,Groceries,Sale,-16.08,
11/22/24,11/24/24,GOOGLE *FI xF78GJ,Bills & Utilities,Sale,-51.45,
11/21/24,11/22/24,TARGET        00014316,Shopping,Return,26.5,
11/22/24,11/22/24,AMAZON MKTPL*5L6NJ9UO3,Shopping,Sale,-19.03,
11/21/24,11/21/24,AMAZON MKTPL*9N2SB3TV3,Shopping,Sale,-478.02,
11/20/24,11/21/24,TROPICAL SMOOTHIE CAFE VA,Food & Drink,Sale,-12.53,
11/20/24,11/21/24,Tilicare LLC,Automotive,Sale,-25,
11/19/24,11/20/24,HARRIS TEETER #308,Groceries,Sale,-15.56,
11/20/24,11/20/24,WWW.TRAININGPEAKS.COM,Shopping,Sale,-149,
11/18/24,11/19/24,UPWORK * -754248788,Professional Services,Sale,-110.25,
11/18/24,11/19/24,HARRIS TEETER #308,Groceries,Sale,-49.41,
11/18/24,11/19/24,TROPICAL SMOOTHIE CAFE VA,Food & Drink,Sale,-12.53,
11/17/24,11/18/24,WEGMANS TYSONS CRNR #115,Groceries,Sale,-33.79,
11/17/24,11/18/24,TST*LULUS WINE GARDEN,Food & Drink,Sale,-81.12,
